generation,avarage fitness,local best fitness,global best fitness,h-h pairs of best candidate,overlapped pairs of best candidate
1.0,0.72,6.0,6.0,6.0,0.0
2.0,0.87,6.0,6.0,6.0,0.0
3.0,1.03,7.0,7.0,7.0,0.0
4.0,1.22,7.0,7.0,7.0,0.0
5.0,1.54,7.0,7.0,7.0,0.0
6.0,1.96,8.0,8.0,8.0,0.0
7.0,2.55,10.0,10.0,10.0,0.0
8.0,3.26,11.0,11.0,11.0,0.0
9.0,4.0,11.0,11.0,11.0,0.0
10.0,4.68,12.0,12.0,12.0,0.0
11.0,5.21,12.0,12.0,12.0,0.0
12.0,5.71,14.0,14.0,14.0,0.0
13.0,6.13,14.0,14.0,14.0,0.0
14.0,6.54,14.0,14.0,14.0,0.0
15.0,6.87,14.0,14.0,14.0,0.0
16.0,7.2,14.0,14.0,14.0,0.0
17.0,7.44,14.0,14.0,14.0,0.0
18.0,7.71,15.0,15.0,15.0,0.0
19.0,8.01,15.0,15.0,15.0,0.0
20.0,8.24,15.0,15.0,15.0,0.0
21.0,8.57,16.0,16.0,16.0,0.0
22.0,8.87,16.0,16.0,16.0,0.0
23.0,9.15,15.0,16.0,16.0,0.0
24.0,9.39,15.0,16.0,16.0,0.0
25.0,9.62,16.0,16.0,16.0,0.0
26.0,9.78,16.0,16.0,16.0,0.0
27.0,9.97,16.0,16.0,16.0,0.0
28.0,10.1,16.0,16.0,16.0,0.0
29.0,10.35,16.0,16.0,16.0,0.0
30.0,10.48,16.0,16.0,16.0,0.0
31.0,10.65,17.0,17.0,17.0,0.0
32.0,10.79,17.0,17.0,17.0,0.0
33.0,11.01,17.0,17.0,17.0,0.0
34.0,11.16,17.0,17.0,17.0,0.0
35.0,11.29,16.0,17.0,17.0,0.0
36.0,11.46,16.0,17.0,17.0,0.0
37.0,11.58,16.0,17.0,17.0,0.0
38.0,11.79,17.0,17.0,17.0,0.0
39.0,11.86,17.0,17.0,17.0,0.0
40.0,12.02,17.0,17.0,17.0,0.0
41.0,12.15,17.0,17.0,17.0,0.0
42.0,12.24,17.0,17.0,17.0,0.0
43.0,12.34,17.0,17.0,17.0,0.0
44.0,12.48,17.0,17.0,17.0,0.0
45.0,12.65,17.0,17.0,17.0,0.0
46.0,12.66,17.0,17.0,17.0,0.0
47.0,12.75,17.0,17.0,17.0,0.0
48.0,12.77,17.0,17.0,17.0,0.0
49.0,12.94,17.0,17.0,17.0,0.0
50.0,12.99,17.0,17.0,17.0,0.0
51.0,12.96,17.0,17.0,17.0,0.0
52.0,13.08,17.0,17.0,17.0,0.0
53.0,13.06,17.0,17.0,17.0,0.0
54.0,13.14,18.0,18.0,18.0,0.0
55.0,13.21,17.0,18.0,18.0,0.0
56.0,13.24,17.0,18.0,18.0,0.0
57.0,13.26,18.0,18.0,18.0,0.0
58.0,13.29,17.0,18.0,18.0,0.0
59.0,13.32,17.0,18.0,18.0,0.0
60.0,13.37,17.0,18.0,18.0,0.0
61.0,13.42,17.0,18.0,18.0,0.0
62.0,13.4,17.0,18.0,18.0,0.0
63.0,13.42,17.0,18.0,18.0,0.0
64.0,13.42,18.0,18.0,18.0,0.0
65.0,13.47,18.0,18.0,18.0,0.0
66.0,13.5,18.0,18.0,18.0,0.0
67.0,13.55,17.0,18.0,18.0,0.0
68.0,13.5,17.0,18.0,18.0,0.0
69.0,13.52,17.0,18.0,18.0,0.0
70.0,13.51,17.0,18.0,18.0,0.0
71.0,13.54,17.0,18.0,18.0,0.0
72.0,13.59,17.0,18.0,18.0,0.0
73.0,13.57,17.0,18.0,18.0,0.0
74.0,13.6,17.0,18.0,18.0,0.0
75.0,13.63,18.0,18.0,18.0,0.0
76.0,13.59,18.0,18.0,18.0,0.0
77.0,13.64,18.0,18.0,18.0,0.0
78.0,13.64,18.0,18.0,18.0,0.0
79.0,13.67,17.0,18.0,18.0,0.0
80.0,13.71,18.0,18.0,18.0,0.0
81.0,13.69,17.0,18.0,18.0,0.0
82.0,13.71,18.0,18.0,18.0,0.0
83.0,13.68,18.0,18.0,18.0,0.0
84.0,13.67,17.0,18.0,18.0,0.0
85.0,13.72,17.0,18.0,18.0,0.0
86.0,13.72,18.0,18.0,18.0,0.0
87.0,13.79,18.0,18.0,18.0,0.0
88.0,13.74,18.0,18.0,18.0,0.0
89.0,13.74,18.0,18.0,18.0,0.0
90.0,13.8,18.0,18.0,18.0,0.0
91.0,13.79,18.0,18.0,18.0,0.0
92.0,13.83,19.0,19.0,19.0,0.0
93.0,13.85,18.0,19.0,19.0,0.0
94.0,13.89,19.0,19.0,19.0,0.0
95.0,13.92,18.0,19.0,19.0,0.0
96.0,13.93,19.0,19.0,19.0,0.0
97.0,13.93,19.0,19.0,19.0,0.0
98.0,13.91,18.0,19.0,19.0,0.0
99.0,13.91,18.0,19.0,19.0,0.0
100.0,13.98,18.0,19.0,19.0,0.0
101.0,14.03,18.0,19.0,19.0,0.0
102.0,14.05,18.0,19.0,19.0,0.0
103.0,14.1,18.0,19.0,19.0,0.0
104.0,14.13,18.0,19.0,19.0,0.0
105.0,14.1,19.0,19.0,19.0,0.0
106.0,14.1,19.0,19.0,19.0,0.0
107.0,14.2,19.0,19.0,19.0,0.0
108.0,14.2,19.0,19.0,19.0,0.0
109.0,14.24,19.0,19.0,19.0,0.0
110.0,14.27,19.0,19.0,19.0,0.0
111.0,14.36,19.0,19.0,19.0,0.0
112.0,14.42,19.0,19.0,19.0,0.0
113.0,14.48,19.0,19.0,19.0,0.0
114.0,14.54,19.0,19.0,19.0,0.0
115.0,14.57,19.0,19.0,19.0,0.0
116.0,14.65,19.0,19.0,19.0,0.0
117.0,14.71,19.0,19.0,19.0,0.0
118.0,14.8,19.0,19.0,19.0,0.0
119.0,14.87,19.0,19.0,19.0,0.0
120.0,14.92,19.0,19.0,19.0,0.0
121.0,15.02,19.0,19.0,19.0,0.0
122.0,15.1,19.0,19.0,19.0,0.0
123.0,15.14,19.0,19.0,19.0,0.0
124.0,15.2,19.0,19.0,19.0,0.0
125.0,15.27,19.0,19.0,19.0,0.0
126.0,15.32,20.0,20.0,20.0,0.0
127.0,15.42,20.0,20.0,20.0,0.0
128.0,15.47,19.0,20.0,20.0,0.0
129.0,15.48,19.0,20.0,20.0,0.0
130.0,15.55,19.0,20.0,20.0,0.0
131.0,15.65,19.0,20.0,20.0,0.0
132.0,15.71,19.0,20.0,20.0,0.0
133.0,15.78,19.0,20.0,20.0,0.0
134.0,15.8,19.0,20.0,20.0,0.0
135.0,15.88,19.0,20.0,20.0,0.0
136.0,15.93,19.0,20.0,20.0,0.0
137.0,15.93,19.0,20.0,20.0,0.0
138.0,15.99,19.0,20.0,20.0,0.0
139.0,16.02,19.0,20.0,20.0,0.0
140.0,16.06,19.0,20.0,20.0,0.0
141.0,16.08,19.0,20.0,20.0,0.0
142.0,16.1,19.0,20.0,20.0,0.0
143.0,16.15,19.0,20.0,20.0,0.0
144.0,16.17,19.0,20.0,20.0,0.0
145.0,16.24,19.0,20.0,20.0,0.0
146.0,16.26,19.0,20.0,20.0,0.0
147.0,16.29,19.0,20.0,20.0,0.0
148.0,16.33,19.0,20.0,20.0,0.0
149.0,16.36,19.0,20.0,20.0,0.0
150.0,16.39,19.0,20.0,20.0,0.0
151.0,16.45,19.0,20.0,20.0,0.0
152.0,16.49,19.0,20.0,20.0,0.0
153.0,16.49,19.0,20.0,20.0,0.0
154.0,16.52,19.0,20.0,20.0,0.0
155.0,16.58,19.0,20.0,20.0,0.0
156.0,16.62,19.0,20.0,20.0,0.0
157.0,16.66,19.0,20.0,20.0,0.0
158.0,16.69,19.0,20.0,20.0,0.0
159.0,16.77,19.0,20.0,20.0,0.0
160.0,16.79,19.0,20.0,20.0,0.0
161.0,16.81,19.0,20.0,20.0,0.0
162.0,16.87,20.0,20.0,20.0,0.0
163.0,16.9,20.0,20.0,20.0,0.0
164.0,16.95,20.0,20.0,20.0,0.0
165.0,17.01,19.0,20.0,20.0,0.0
166.0,16.99,19.0,20.0,20.0,0.0
167.0,16.98,19.0,20.0,20.0,0.0
168.0,17.04,20.0,20.0,20.0,0.0
169.0,17.08,20.0,20.0,20.0,0.0
170.0,17.1,19.0,20.0,20.0,0.0
171.0,17.15,20.0,20.0,20.0,0.0
172.0,17.19,20.0,20.0,20.0,0.0
173.0,17.2,20.0,20.0,20.0,0.0
174.0,17.23,20.0,20.0,20.0,0.0
175.0,17.27,20.0,20.0,20.0,0.0
176.0,17.29,20.0,20.0,20.0,0.0
177.0,17.29,20.0,20.0,20.0,0.0
178.0,17.29,20.0,20.0,20.0,0.0
179.0,17.34,20.0,20.0,20.0,0.0
180.0,17.34,20.0,20.0,20.0,0.0
181.0,17.35,20.0,20.0,20.0,0.0
182.0,17.35,20.0,20.0,20.0,0.0
183.0,17.37,20.0,20.0,20.0,0.0
184.0,17.41,21.0,21.0,21.0,0.0
